id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,location
78097,Cute House South Austin Room,419554,Christian & Blanca,,78745,30.19845676895664,-97.81181772243268,Private room,45,1,27,2015-10-27,0.85,2,363,POINT(-97.81181772243268 30.19845676895664)
5296325,Room in modern S. 1st apt - SXSW,4317247,Angela And Greg,,78745,30.212721341271465,-97.77793975064833,Private room,60,1,6,2015-10-19,0.76,1,364,POINT(-97.77793975064833 30.212721341271465)
6402579,Must Love Cats A Lot!,22065474,Heidi,,78745,30.20154894609507,-97.76911753759266,Shared room,175,3,0,,,2,151,POINT(-97.76911753759266 30.20154894609507)
4679029,Great House 3 Bdrm or less....South,24197648,Marty,,78745,30.22082399103895,-97.79916462603015,Entire home/apt,259,3,0,,,1,365,POINT(-97.79916462603015 30.22082399103895)
5030978,Home away from home in South Austin,25970331,Henri,,78745,30.200839799437855,-97.8376908042795,Entire home/apt,119,2,38,2015-10-11,4.27,1,18,POINT(-97.8376908042795 30.200839799437855)
4219001,Simple camper  in SxSAustin,1568741,Jim O',,78745,30.208286987816802,-97.76884335008819,Entire home/apt,35,3,1,2014-11-03,0.08,15,365,POINT(-97.76884335008819 30.208286987816802)
4112201,**Awesome 3 bdrm Cntrl/Sth Austin**,12936870,,,78745,30.21678348397023,-97.80543487265346,Entire home/apt,169,3,0,,,2,197,POINT(-97.80543487265346 30.21678348397023)
8118607,Your Home Away From Home!,33322960,Catherine,,78745,30.199734799686595,-97.76992719725375,Private room,50,1,5,2015-09-27,2.31,1,85,POINT(-97.76992719725375 30.199734799686595)
5471518,Shared House in South Austin SXSW,15322303,Peter,,78745,30.223507855092013,-97.77552056168307,Private room,250,1,0,,,1,228,POINT(-97.77552056168307 30.223507855092013)
884712,Hip South Austin Hot Tub Haven,3564122,Joshua & Heather,,78745,30.219833330849283,-97.78777620922332,Entire home/apt,300,4,4,2015-10-27,0.31,1,363,POINT(-97.78777620922332 30.219833330849283)
521689,"Awesome Space, Chill Yard! ",2565803,Christine,,78745,30.200974149294854,-97.81403773933782,Entire home/apt,250,2,7,2015-10-26,0.57,1,363,POINT(-97.81403773933782 30.200974149294854)
7664381,1 Bed/Bath in a quiet neighborhood,40233236,Calvin,,78745,30.207483766319026,-97.81736486951563,Private room,40,1,0,,,1,63,POINT(-97.81736486951563 30.207483766319026)
76309,"Queen Bed, comfortable home in SOLA",407093,Paula,,78745,30.21918800384808,-97.79000806035123,Private room,85,2,8,2015-03-23,0.14,1,337,POINT(-97.79000806035123 30.21918800384808)
2426621,SXSW Austin Texas Retreat,9079177,Ashley,,78745,30.20713225536791,-97.83420650371845,Private room,165,1,0,,,3,365,POINT(-97.83420650371845 30.20713225536791)
3373305,Sahara Casa 4 Bed 2 Bath S. Austin!,4597887,Corley,,78745,30.207105383890536,-97.78594967805961,Entire home/apt,178,2,116,2015-10-25,7.00,2,265,POINT(-97.78594967805961 30.207105383890536)
5362658,Beautiful 3BR 10mins from downtown,1731753,Karen,,78745,30.202084426986882,-97.81325585267057,Entire home/apt,250,3,0,,,1,341,POINT(-97.81325585267057 30.202084426986882)
6747810,Cozy guest room in modern home,30866956,Lisa,,78745,30.21444243026949,-97.77929890529194,Private room,45,2,4,2015-11-02,3.53,1,33,POINT(-97.77929890529194 30.21444243026949)
356521,nora'S ROOM  on nature preserve,681301,Coleman,,78745,30.208537983213613,-97.77030932979693,Private room,36,2,28,2015-10-25,0.63,4,365,POINT(-97.77030932979693 30.208537983213613)
7860381,Urban Modern Cozy Apartment,41427000,Cristina,,78745,30.21239779866232,-97.7701079391282,Entire home/apt,90,1,3,2015-10-28,1.88,1,364,POINT(-97.7701079391282 30.21239779866232)
8646714,Cute Quiet Space in South Austin,8832424,Melody,,78745,30.204113910157037,-97.79525413781145,Entire home/apt,240,1,0,,,1,12,POINT(-97.79525413781145 30.204113910157037)
4978855,Hip & Modern South Austin Apartment,3532054,Alita,,78745,30.209827830494483,-97.78832609296722,Entire home/apt,120,2,1,2015-03-17,0.13,1,310,POINT(-97.78832609296722 30.209827830494483)
945741,SXSW Austin Room in 60's Mod Home,5123990,Dale,,78745,30.227173995876946,-97.80057630207801,Private room,350,1,0,,,1,365,POINT(-97.80057630207801 30.227173995876946)
5339169,"2-2 all appliances + laundry room!
",5350988,Trevor,,78745,30.197899609550287,-97.82620851987262,Entire home/apt,1000,1,0,,,1,241,POINT(-97.82620851987262 30.197899609550287)
6714486,Large 1 Bed Apt off South Congress,16114855,Maria,,78745,30.206308748378085,-97.77432912313664,Entire home/apt,126,1,15,2015-09-28,3.21,1,114,POINT(-97.77432912313664 30.206308748378085)
5892651,Baby-Friendly South Austin Home,533818,Lindsay,,78745,30.222726556964677,-97.79143029729713,Entire home/apt,175,2,1,2015-07-12,0.25,1,243,POINT(-97.79143029729713 30.222726556964677)
8907200,Clean & Modern 1960s ranch 1 story,2628292,Jessica,,78745,30.221657043201958,-97.7965191785638,Entire home/apt,600,1,0,,,1,363,POINT(-97.7965191785638 30.221657043201958)
1896134,Heart of South Austin,9851120,Sher,,78745,30.207397673654388,-97.7889059967793,Private room,72,1,14,2015-10-13,0.58,1,352,POINT(-97.7889059967793 30.207397673654388)
7006588,Cozy Bedroom | South Central Austin,36006014,Mallary,,78745,30.216474181311273,-97.7801003707979,Private room,50,2,0,,,1,0,POINT(-97.7801003707979 30.216474181311273)
2386129,So. Austin 2/1 w private bath,8354530,Pat,,78745,30.229028443445358,-97.81239789581652,Private room,189,1,0,,,1,365,POINT(-97.81239789581652 30.229028443445358)
5247498,South Austin Home for SXSW,27157476,Jamie,,78745,30.220755655616284,-97.79714234173296,Entire home/apt,675,2,0,,,1,251,POINT(-97.79714234173296 30.220755655616284)
1141791,Queen Bed w/Bath in South Austin,6261614,Cathy,,78745,30.208362089657907,-97.79547339393133,Private room,70,1,45,2015-10-25,1.63,2,364,POINT(-97.79547339393133 30.208362089657907)
8610858,Cozy 3BR home mins to DT,45299596,Chase,,78745,30.201710140074585,-97.7911091427877,Entire home/apt,300,1,0,,,1,365,POINT(-97.7911091427877 30.201710140074585)
4023245,Serene S Austin1-3 rms/whole house,2632678,Sarah Jane,,78745,30.206009273021625,-97.81948980499452,Private room,48,1,14,2015-10-13,1.05,2,337,POINT(-97.81948980499452 30.206009273021625)
